Products,Prices,Reviews,Brand
"Crucial 500GB X8 Portable SSD - Up to 1050 MB/s - USB 3.2 - USB-C, USB-A - CT500X8SSD9",$119.99,16,Crucial
"Crucial 500GB X8 Portable SSD - Up to 1050 MB/s - USB 3.2 - USB-C, USB-A - CT500X8SSD9",$119.99,16,Crucial
"Crucial 1TB X8 Portable SSD - Up to 1050 MB/s - USB 3.2 - USB-C, USB-A - CT1000X8SSD9",$164.99,16,Crucial
"SAMSUNG T5 2TB 2.50"" USB 3.1 V-NAND Portable SSD MU-PA2T0B/AM",$329.99,59,SAMSUNG
Seagate Expansion SSD 1TB USB 3.0 External / Portable Solid State Drive for PC Laptop and Mac (STJD1000400),$161.99,5,Seagate
SAMSUNG X5 1TB Thunderbolt 3 V-NAND 3-bit MLC External Solid State Drive,$399.99,3,SAMSUNG
SAMSUNG X5 500GB Thunderbolt 3 V-NAND 3-bit MLC External Solid State Drive,$199.99,3,SAMSUNG
Seagate One Touch SSD 1TB USB 3.0 External / Portable Solid State Drive for PC Laptop and Mac - White (STJE1000402),$159.99,,Seagate
Seagate One Touch SSD 500GB USB 3.0 External / Portable Solid State Drive for PC Laptop and Mac - White (STJE500402),$87.54,,Seagate
SanDisk Extreme 250GB USB 3.1 (Gen 2) Portable SSD,$72.99,11,SanDisk
SAMSUNG X5 2TB Thunderbolt 3 V-NAND 3-bit MLC External Solid State Drive,$699.99,3,SAMSUNG
"SAMSUNG T5 1TB 2.5"" USB 3.1 V-NAND Portable SSD MU-PA1T0B/AM",$174.99,59,SAMSUNG
Seagate One Touch SSD 500GB USB 3.0 External / Portable Solid State Drive for PC Laptop and Mac - Black (STJE500400),$77.99,,Seagate
Seagate Expansion SSD 500GB USB 3.0 External / Portable Solid State Drive for PC Laptop and Mac (STJD500400),$80.95,5,Seagate
Seagate Xbox Game Drive 1TB USB 3.0 External / Portable Solid State Drive - Designed for Xbox One (STHB1000401),$206.99,,Seagate
Seagate Xbox Game Drive 2TB USB 3.0 External / Portable Solid State Drive - Designed for Xbox One (STHB2000401),$392.11,,Seagate
"SanDisk 1TB Extreme Pro Portable SSD - Up to 1050 MB/s - USB-C, USB 3.1 - SDSSDE80-1T00-A25",$229.99,1,SanDisk
"SanDisk 500GB Extreme Pro Portable SSD - Up to 1050 MB/s - USB-C, USB 3.1 - SDSSDE80-500G-A25",$119.99,1,SanDisk
"SAMSUNG T5 500GB 2.50"" USB 3.1 V-NAND Portable SSD MU-PA500B/AM",$107.99,59,SAMSUNG
"SAMSUNG T5 250GB 2.50"" USB 3.1 V-NAND Portable SSD MU-PA250B/AM",$99.00,59,SAMSUNG
Samsung T5 MU-PA500G/WW 500 GB Solid State Drive - External - Portable - Rose Gold,$164.99,59,Samsung
ADATA Entry SC680 Series: 1TB Blue External SSD USB 3.1 Gaming Console Compatible,$99.99,5,ADATA
Samsung T5 MU-PA1T0G/WW 1 TB Solid State Drive - External - Portable - Rose Gold,$225.00,59,Samsung
ADATA SE800 1TB IP68 Rugged - Up to 1000 MB/s- SuperSpeed USB 3.2 Gen 2 USB-C External Portable SSD Black (ASE800-1TU32G2-CBK),$149.99,2,ADATA
ADATA Entry Series SD600Q: 1TB Black External SSD USB 3.1 Gaming Console Compatible,$99.99,18,ADATA
VectoTech Rapid 2TB External SSD USB-C Portable Solid State Drive (USB 3.1 Gen 2),$249.00,36,VectoTech
VectoTech Rapid 4TB External SSD USB-C Portable Solid State Drive (USB 3.1 Gen 2),$599.00,36,VectoTech
VectoTech Rapid 1TB External SSD USB-C Portable Solid State Drive (USB 3.1 Gen 2),$139.00,36,VectoTech
